ID,macid,Date_time,Acceleration_x,Acceleration_y,Acceleration_z,Acceleration_s,Frequency,Amplitude,sound,Temp_t1,Temp_t2,Temp_t3,emf,bv,an,device_id,node_firm,gateway_firm,radio_power,res,sen_type
1009,,10/18/2017 0:04:33,1.51,0.83,0.02,1.72,8.96,15.03,0,24.8,23.4,24,ffab,164,61,,,,,ffff,
1008,,10/18/2017 0:04:34,1.51,0.96,0.04,1.78,8.82,16.05,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:04:41,1.5,0.89,0.03,1.74,8.82,15.7,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:04:42,1.55,0.8,0.04,1.74,8.79,15.8,0,23,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:04:42,1.51,0.9,0.04,1.75,8.92,15.43,0,24,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:04:43,1.54,0.84,0.02,1.75,8.87,15.61,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:04:44,1.48,0.94,0.04,1.75,8.99,15.19,0,24.8,23.8,24,ffad,166,57,,,,,ffff,
1024,,10/18/2017 0:04:52,1.52,0.79,0.05,1.71,8.94,15,0,23,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:04:52,1.53,0.91,0.04,1.78,8.82,16.05,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:04:53,1.52,0.84,0.02,1.73,8.97,15.09,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:04:54,1.49,0.95,0.04,1.76,8.88,15.66,0,24.9,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:05:01,1.51,0.9,0.03,1.75,8.8,15.85,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:05:02,1.55,0.81,0.04,1.74,8.83,15.66,0,22.9,22.4,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:05:02,1.5,0.89,0.04,1.74,8.96,15.2,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:05:03,1.52,0.84,0.02,1.73,8.88,15.39,0,24.8,23.4,24,ffab,166,61,,,,,ffff,
1008,,10/18/2017 0:05:04,1.5,0.95,0.04,1.77,8.8,16.04,0,24.8,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:05:11,1.48,0.88,0.03,1.72,8.98,14.96,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:05:12,1.52,0.79,0.04,1.71,8.98,14.88,0,22.9,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:05:12,1.53,0.91,0.04,1.78,8.82,16.05,0,24.1,23,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:05:13,1.54,0.85,0.02,1.75,8.79,15.9,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:05:14,1.48,0.94,0.04,1.75,8.92,15.43,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:05:21,1.51,0.9,0.03,1.75,8.85,15.68,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:05:22,1.54,0.8,0.04,1.73,8.85,15.5,0,23,22.5,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:05:22,1.51,0.9,0.04,1.75,8.99,15.19,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:05:23,1.51,0.83,0.02,1.72,8.95,15.06,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:05:24,1.5,0.95,0.04,1.77,8.8,16.04,0,24.8,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:05:31,1.49,0.88,0.03,1.73,9,14.99,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:05:32,1.53,0.79,0.05,1.72,9.01,14.86,0,23,22.4,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:05:32,1.52,0.91,0.04,1.77,8.87,15.78,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:05:33,1.54,0.84,0.02,1.75,8.83,15.75,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:05:34,1.48,0.94,0.04,1.75,8.96,15.29,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:05:41,1.5,0.89,0.03,1.74,8.87,15.51,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:05:42,1.53,0.8,0.04,1.72,8.9,15.23,0,23,22.4,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:05:42,1.52,0.9,0.03,1.76,8.98,15.32,0,24.1,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:05:43,1.51,0.83,0.02,1.72,8.99,14.93,0,24.8,23.3,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:05:44,1.51,0.95,0.04,1.78,8.84,15.98,0,24.8,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:05:51,1.51,0.9,0.03,1.75,8.8,15.85,0,25.1,0,0,ffb1,164,59,,,,,ffff,
1024,,10/18/2017 0:05:52,1.55,0.81,0.04,1.74,8.83,15.66,0,23,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:05:52,1.51,0.9,0.04,1.75,8.91,15.47,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:05:53,1.53,0.84,0.03,1.74,8.86,15.56,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:05:54,1.49,0.95,0.04,1.76,8.96,15.39,0,24.8,23.7,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:06:01,1.49,0.89,0.03,1.73,8.96,15.12,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:06:02,1.53,0.8,0.04,1.72,8.97,15,0,23,22.4,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:06:02,1.54,0.91,0.04,1.78,8.82,16.05,0,24.1,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:06:03,1.54,0.85,0.02,1.75,8.8,15.85,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:06:04,1.48,0.94,0.04,1.75,8.92,15.43,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:06:11,1.51,0.9,0.03,1.75,8.87,15.61,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:06:12,1.54,0.8,0.04,1.73,8.87,15.43,0,23,22.4,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:06:12,1.52,0.9,0.04,1.76,8.98,15.32,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:06:13,1.52,0.83,0.02,1.73,8.98,15.05,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:06:14,1.51,0.96,0.04,1.78,8.83,16.02,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:06:21,1.51,0.9,0.03,1.75,8.82,15.78,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:06:22,1.55,0.81,0.04,1.74,8.8,15.77,0,23,22.2,23,ffa3,160,62,,,,,ffff,
1009,,10/18/2017 0:06:23,1.53,0.84,0.02,1.74,8.9,15.41,0,24.8,23.3,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:06:24,1.5,0.95,0.04,1.77,8.97,15.43,0,24.9,24,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:06:31,1.49,0.89,0.03,1.73,8.96,15.12,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:06:32,1.53,0.8,0.04,1.72,8.96,15.03,0,23,22.4,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:06:32,1.54,0.91,0.04,1.78,8.86,15.91,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:06:33,1.55,0.85,0.02,1.76,8.85,15.77,0,24.7,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:06:34,1.48,0.94,0.04,1.75,8.94,15.36,0,24.9,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:06:41,1.5,0.89,0.03,1.74,8.87,15.51,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:06:42,1.53,0.8,0.04,1.72,8.91,15.2,0,23,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:06:42,1.53,0.91,0.04,1.78,8.84,15.98,0,24.1,23.1,24,ffbd,162,59,,,,,ffff,
1009,,10/18/2017 0:06:43,1.53,0.84,0.02,1.74,8.85,15.58,0,24.7,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:06:44,1.5,0.95,0.04,1.77,8.87,15.78,0,24.9,23.8,24,ffad,166,57,,,,,ffff,
